Salt Smiles,Cation Heavy Atoms,Tanimoto Similarity Score,Molecular Relative,Anion,predicted cpt,predicted density,calculated cpt,calculated density,"% error, cpt","% error, density",Round,Series,Category,"kde, density","kde, cpt","kde, multivariate"
CCNCC[n+]1ccc(C#N)cc1NC.O=C([O-])C(F)(F)F,15,0.5309734513274337,1-ethyl-2-methylpyridinium,trifluoroacetate,430.95,1118.21,538.54,1229.17,19.98,9.03,1,2,Pyridinium,2.055731504087532,1.3478040240692597,2.1783172801036823
CCOCCCCn1cc[n+](C)c1.NCCCC[C@H](N)C(=O)[O-],13,0.8589743589743589,1-butyl-3-methylimidazolium,L-lysinate,493.56,1062.27,670.25,1057.34,26.36,0.47,1,2,Imidazolium,3.385364266207012,0.9898982232019786,1.9994884782105968
CCCCc1c(C)cc(C)c[n+]1CCCNCC.COS(=O)(=O)[O-],18,0.5579399141630901,1-ethyl-2-methylpyridinium,methylsulfate,427.2,1129.73,638.26,1075.8,33.07,5.01,1,2,Pyridinium,1.7006072189441184,1.4788214149298915,2.188680511461978
CCCCCCC[n+]1cc(CC)cc(N=C=O)c1.CS(=O)(=O)[O-],18,0.5457142857142857,3-cyano-1-octylpyridinium,methanesulfonate,510.35,1040.71,600.88,1101.77,15.07,5.54,1,2,Pyridinium,2.918270313861239,1.221075626527115,1.9616915045366108
CCCCCN[n+]1ccn(C)c1C.N#C[N-]C#N,13,0.5,1-butyl-3-methylimidazolium,dicyanamide,497.13,1064.34,468.4,1020.38,6.13,4.31,1,2,Imidazolium,3.2928471352111783,1.349365809922322,1.9994884782105968
C#Cc1c[n+](CCC)c(CC)c(NC)c1N.NCCS(=O)(=O)[O-],16,0.5176470588235295,1-butyl-3-methylimidazolium,2-aminoethanesulfonate,434.38,1064.41,596.01,1189.53,27.12,10.52,1,2,Imidazolium,3.2877980540934915,1.1066779024821594,2.106520157234077
Cn1cc[n+](c1)COCCCCCC.N#CN=C=[N-],14,0.5454545454545454,1-butyl-3-methylimidazolium,dicyanoazanide,380.81,1046.27,527.59,1029.07,27.82,1.67,1,2,Imidazolium,1.9711038729149903,1.6949473485972049,2.073929999724321
CCc1c(C)c(C)c(F)[n+](CC)c1C.COP(=O)([O-])OC,14,0.5241935483870968,1-ethyl-2-methylpyridinium,dimethylphosphate,469.05,1072.74,551.45,1131.91,14.94,5.23,1,2,Pyridinium,2.0471344998940126,0.7391091072041361,2.083896808737629
CCCCCCn1cc(N)[n+](C)c1.COP(=O)([O-])OC,13,0.73224043715847,1-butyl-3-methylimidazolium,dimethylphosphate,432.66,969.24,554.41,1128.66,21.96,14.12,1,2,Imidazolium,0.4716141482531834,1.25913990833338,1.9277127822258917
CCC[NH+](CC)CC.N#C[C-](C#N)C#N,8,0.6097560975609756,tributylmethylammonium,tricyanomethane,378.52,979.58,415.36,983.25,8.87,0.37,1,2,Ammonium,0.992808583733804,1.502536952778407,1.90356088054946
CCCCCCCC[n+]1cccc(P)c1N=O.O=C([O-])C(F)(F)F,17,0.5381165919282511,1-butyl-2-methylpyridinium,trifluoroacetate,470.43,1048.44,558.62,1163.89,15.79,9.92,1,2,Pyridinium,1.9025036810907938,0.7213075999907486,2.044552334533575
CCCCC(CC)[n+]1ccn(CC)c1C.CS(=O)(=O)[O-],15,0.6473429951690821,1-butyl-3-methylimidazolium,methanesulfonate,510.51,1123.62,579.81,1051.14,11.95,6.9,1,2,Imidazolium,2.4305766477776105,1.2143756618033597,2.0758811629752327
CCn1c[n+](C)c(NC(C)=O)c1P.N#CN=C=[N-],13,0.5203252032520326,1-butyl-3-methylimidazolium,dicyanoazanide,492.72,1006.76,464.36,1202.31,6.11,16.26,1,2,Imidazolium,2.564873062732308,0.9052887713869882,1.9077938207995484
c1c[n+](cn1CCC(C)C)C.N#C[C-](C#N)C#N,11,0.9640287769784172,1-butyl-3-methylimidazolium,tricyanomethane,473.8,1015.56,455.18,1026.35,4.09,1.05,1,2,Imidazolium,1.9257462567518058,0.6118913973225225,1.9879104792600135
CCCCn1cc[n+](C2(CCC)CCCC2)c1.N#C[S-],17,0.67,1-butyl-3-methylimidazolium,thiocyanate,506.88,1046.37,544.41,1001.54,6.89,4.48,1,2,Imidazolium,1.9583612178255465,1.4367825738724216,1.9745720848202588
CCCCC[n+]1ccn(CCCl)c1.[Cl-],13,0.8322981366459627,1-butyl-3-methylimidazolium,chloride,461.74,1106.35,390.14,1107.3,18.35,0.09,1,2,Imidazolium,1.6387688494036081,0.6189998462054416,2.1311232962646915
C=CC[n+]1cn(CCC#N)c(C)c1N.N#C[C-](C#N)C#N,14,0.5641025641025641,1-butyl-3-methylimidazolium,tricyanomethane,462.09,1075.43,445.73,1124.54,3.67,4.37,1,2,Imidazolium,1.4686078685116717,0.6286963874684961,2.083896808737629
CC[n+]1ccn(CF)c1.NCCCC[C@H](N)C(=O)[O-],9,0.7734375,1-ethyl-3-methylimidazolium,L-lysinate,509.5,1098.49,541.11,1142.0,5.84,3.81,1,2,Imidazolium,3.894602777751517,1.2712103631848408,2.045418993758735
CCCCc1cn(CC)c[n+]1CC.N#CN=C=[N-],13,0.5555555555555556,1-butyl-3-methylimidazolium,dicyanoazanide,454.81,1018.29,485.91,983.69,6.4,3.52,1,2,Imidazolium,1.3670498306658596,0.4305243695702791,1.9879104792600135
CN(CNO)c1cc[n+](CCCP)cc1.C[C@@H](O)[C@H](N)C(=O)[O-],15,0.5614035087719298,1-ethylpyridinium,L-threoninate,400.83,1085.42,621.8,1200.63,35.54,9.6,1,2,Pyridinium,1.3447776198737178,1.8219234096245531,2.125275974008748
C=CC[NH+](CC)CCCC.NCCS(=O)(=O)[O-],10,0.6779661016949152,tributylmethylammonium,2-aminoethanesulfonate,457.13,1126.38,542.6,1113.05,15.75,1.2,1,2,Ammonium,2.193388561303916,0.4823384967072683,2.1521405461385688
c1c(C)c(CC)[n+](cc(C)1)CCCCCC.N#C[S-],16,0.5803571428571429,1-ethyl-2-methylpyridinium,thiocyanate,468.21,1003.92,523.44,963.25,10.55,4.22,1,2,Pyridinium,1.9141634004621542,0.7419652621812843,1.9581696497909105
Cn1cc[n+](CC(P)c2ccccc2)c1.O=[N+]([O-])[O-],15,0.5748792270531401,1-isobutyl-3-methylimidazolium,nitrate,405.65,1173.52,417.69,1234.1,2.88,4.91,1,2,Imidazolium,1.856870803544236,1.84222798439515,2.221778316741365
CCO[n+]1cc(C)n(C(C)CC#N)c1.CC(=O)[O-],14,0.5512820512820513,1-butyl-3-methylimidazolium,acetate,292.49,1238.73,443.13,1067.71,33.99,16.02,1,2,Imidazolium,3.7351838835960787,0.2676782879627976,1.822213066852966
CC(NO)n1ccc[n+]1C.CS(=O)(=O)[O-],10,0.5073170731707317,1-ethyl-2-methylpyridinium,methanesulfonate,253.35,1255.64,353.91,1307.59,28.41,3.97,1,2,Pyridinium,1.5092624144178506,0.0923517407254484,1.5446836170812832
NCCc1cc(N)cc(CN2C=C[NH+](N)C2)c1.N[C@@H](CO)C(=O)[O-],17,0.5449101796407185,1-benzyl-3-methyl-1H-imidazolium,L-serinate,285.61,1188.59,607.6,1278.36,52.99,7.02,1,2,Imidazolium,3.358129955177793,0.5970778918559587,1.8128189044911087
CCCn1cc[n+](CCC(C)CNC)c1.O=[N+]([O-])[O-],15,0.8427672955974843,1-butyl-3-methylimidazolium,nitrate,314.78,1130.78,543.43,1082.25,42.08,4.48,1,2,Imidazolium,1.5948698086573765,0.5548512292773173,1.9228239235456928
C#Cc1c[n+](C)ccc1N.CS(=O)(=O)[O-],10,0.5169491525423728,1-ethylpyridinium,methanesulfonate,319.2,1126.19,317.96,1302.81,0.39,13.56,1,2,Pyridinium,2.2134394962733066,0.4086690993746385,1.9164176252606595
